symptoms,Epidemic periods,Left endpoint (months),Right endpoint (months),N
fatigue,Wild-type period,0,0,230
fatigue,Wild-type period,0,1,62
fatigue,Wild-type period,0,,9
fatigue,Wild-type period,1,2,20
fatigue,Wild-type period,2,3,13
fatigue,Wild-type period,3,6,18
fatigue,Wild-type period,6,12,7
fatigue,Wild-type period,6,36,4
fatigue,Wild-type period,6,,6
fatigue,Wild-type period,12,24,4
fatigue,Wild-type period,12,36,3
fatigue,Wild-type period,12,30,1
fatigue,Wild-type period,12,,15
fatigue,Wild-type period,30,,1
fatigue,Wild-type period,36,48,1
fatigue,Wild-type period,36,,3
fatigue,Wild-type period,48,,9
fatigue,Alpha period,0,0,140
fatigue,Alpha period,0,1,59
fatigue,Alpha period,0,,5
fatigue,Alpha period,1,2,30
fatigue,Alpha period,2,3,18
fatigue,Alpha period,3,6,16
fatigue,Alpha period,6,12,4
fatigue,Alpha period,6,36,7
fatigue,Alpha period,6,,2
fatigue,Alpha period,12,18,7
fatigue,Alpha period,12,36,4
fatigue,Alpha period,12,,13
fatigue,Alpha period,24,36,1
fatigue,Alpha period,30,,1
fatigue,Alpha period,36,,2
fatigue,Alpha period,48,,11
fatigue,Delta period,0,0,151
fatigue,Delta period,0,1,48
fatigue,Delta period,0,,3
fatigue,Delta period,1,2,38
fatigue,Delta period,2,3,18
fatigue,Delta period,3,6,18
fatigue,Delta period,6,12,5
fatigue,Delta period,6,36,3
fatigue,Delta period,6,,4
fatigue,Delta period,12,18,3
fatigue,Delta period,12,36,7
fatigue,Delta period,12,,13
fatigue,Delta period,24,36,1
fatigue,Delta period,30,,1
fatigue,Delta period,36,48,1
fatigue,Delta period,36,,4
fatigue,Omicron period-2022,0,0,1039
fatigue,Omicron period-2022,0,1,176
fatigue,Omicron period-2022,0,,13
fatigue,Omicron period-2022,1,2,49
fatigue,Omicron period-2022,2,3,31
fatigue,Omicron period-2022,3,6,26
fatigue,Omicron period-2022,6,12,8
fatigue,Omicron period-2022,6,36,8
fatigue,Omicron period-2022,6,,17
fatigue,Omicron period-2022,12,24,1
