symptoms,Left_endpoint,Right_endpoint ,S,1-S,SE,Epidemic_periods
fatigue,.,0,1,0,0,Wild-type_period
fatigue,0,0,0.4335,0.5665,0.0248,Wild-type_period
fatigue,1,1,0.2726,0.7274,0.0229,Wild-type_period
fatigue,2,2,0.2206,0.7794,0.0215,Wild-type_period
fatigue,3,3,0.1869,0.8131,0.0204,Wild-type_period
fatigue,6,6,0.1402,0.8598,0.0184,Wild-type_period
fatigue,12,12,0.1159,0.8841,0.0179,Wild-type_period
fatigue,24,30,0.0657,0.9343,0.0309,Wild-type_period
fatigue,30,30,0.0657,0.9343,0.0415,Wild-type_period
fatigue,36,36,0.0657,0.9343,0.0158,Wild-type_period
fatigue,48,48,0.0591,0.9409,0.0155,Wild-type_period
fatigue,.,0,1,0,0,Alpha_period
fatigue,0,0,0.5625,0.4375,0.0277,Alpha_period
fatigue,1,1,0.3729,0.6271,0.0272,Alpha_period
fatigue,2,2,0.2764,0.7236,0.0253,Alpha_period
fatigue,3,3,0.2186,0.7814,0.0234,Alpha_period
fatigue,6,6,0.1671,0.8329,0.0211,Alpha_period
fatigue,12,12,0.1498,0.8502,0.0206,Alpha_period
fatigue,18,30,0.0772,0.9228,0.0186,Alpha_period
fatigue,36,48,0.0652,0.9348,0.016,Alpha_period
fatigue,.,0,1,0,0,Delta_period
fatigue,0,0,0.5252,0.4748,0.028,Delta_period
fatigue,1,1,0.3715,0.6285,0.0272,Delta_period
fatigue,2,2,0.2498,0.7502,0.0244,Delta_period
fatigue,3,3,0.1921,0.8079,0.0223,Delta_period
fatigue,6,6,0.1345,0.8655,0.0193,Delta_period
fatigue,12,12,0.1147,0.8853,0.0184,Delta_period
fatigue,18,30,0.0595,0.9405,0.0225,Delta_period
fatigue,36,36,0.0328,0.9672,0.0133,Delta_period
fatigue,48,.,0,1,0,Delta_period
fatigue,.,0,1,0,0,Omicron_period-2022
fatigue,0,0,0.2455,0.7545,0.0116,Omicron_period-2022
fatigue,1,1,0.1125,0.8875,0.0086,Omicron_period-2022
fatigue,2,2,0.0755,0.9245,0.0072,Omicron_period-2022
fatigue,3,3,0.0521,0.9479,0.0061,Omicron_period-2022
fatigue,6,6,0.0325,0.9675,0.0049,Omicron_period-2022
fatigue,12,18,0.018,0.982,0.0047,Omicron_period-2022
fatigue,24,30,0.015,0.985,0.0048,Omicron_period-2022
fatigue,36,.,0,1,0,Omicron_period-2022
fatigue,.,0,1,0,0,Omicron_period-2024
fatigue,0,0,0.2687,0.7313,0.0271,Omicron_period-2024
fatigue,1,1,0.1231,0.8769,0.0201,Omicron_period-2024
fatigue,2,2,0.0821,0.9179,0.0168,Omicron_period-2024
fatigue,3,3,0.0634,0.9366,0.0149,Omicron_period-2024
fatigue,6,6,0.0448,0.9552,0.0126,Omicron_period-2024
headache,.,0,1,0,0,Wild-type_period
headache,0,0,0.2118,0.7882,0.0204,Wild-type_period
headache,1,1,0.1195,0.8805,0.0167,Wild-type_period
headache,2,2,0.1032,0.8968,0.0158,Wild-type_period
headache,3,3,0.0733,0.9267,0.0137,Wild-type_period
headache,6,6,0.0489,0.9511,0.0115,Wild-type_period
headache,12,12,0.046,0.954,0.0112,Wild-type_period
headache,30,36,0.0288,0.9712,0.0206,Wild-type_period
headache,36,48,0.0288,0.9712,0.0106,Wild-type_period
headache,.,0,1,0,0,Alpha_period
headache,0,0,0.2125,0.7875,0.0229,Alpha_period
headache,1,1,0.1046,0.8954,0.0175,Alpha_period
headache,2,2,0.0675,0.9325,0.0144,Alpha_period
headache,3,3,0.054,0.946,0.013,Alpha_period
headache,6,6,0.0438,0.9562,0.0118,Alpha_period
headache,12,30,0.0356,0.9644,0.0109,Alpha_period
headache,36,48,0.013,0.987,0.0112,Alpha_period
headache,.,0,1,0,0,Delta_period
headache,0,0,0.2296,0.7704,0.0236,Delta_period
headache,1,1,0.139,0.861,0.0195,Delta_period
headache,2,2,0.1035,0.8965,0.0172,Delta_period
headache,3,3,0.0744,0.9256,0.0149,Delta_period
headache,6,6,0.0453,0.9547,0.0118,Delta_period
headache,12,12,0.0418,0.9582,0.0114,Delta_period
headache,18,36,0.0209,0.9791,0.0119,Delta_period
headache,.,0,1,0,0,Omicron_period-2022
headache,0,0,0.1264,0.8736,0.009,Omicron_period-2022
headache,1,1,0.0533,0.9467,0.0063,Omicron_period-2022
headache,2,2,0.0411,0.9589,0.0056,Omicron_period-2022
headache,3,3,0.0312,0.9688,0.005,Omicron_period-2022
headache,6,6,0.0244,0.9756,0.0045,Omicron_period-2022
headache,12,18,0.0123,0.9877,0.0042,Omicron_period-2022
headache,24,30,0.0106,0.9894,0.0042,Omicron_period-2022
headache,36,36,0.0106,0.9894,0.005,Omicron_period-2022
headache,.,0,1,0,0,Omicron_period-2024
headache,0,0,0.1045,0.8955,0.0187,Omicron_period-2024
headache,1,1,0.0464,0.9536,0.013,Omicron_period-2024
headache,2,2,0.0348,0.9652,0.0113,Omicron_period-2024
headache,3,3,0.0271,0.9729,0.0101,Omicron_period-2024
headache,6,6,0.0116,0.9884,0.0067,Omicron_period-2024
headache,12,.,0,1,0,Omicron_period-2024
dizziness,.,0,1,0,0,Wild-type_period
dizziness,0,0,0.133,0.867,0.0169,Wild-type_period
dizziness,1,1,0.0896,0.9104,0.0144,Wild-type_period
dizziness,2,2,0.0814,0.9186,0.0139,Wild-type_period
dizziness,3,3,0.0706,0.9294,0.013,Wild-type_period
dizziness,6,6,0.0516,0.9484,0.0113,Wild-type_period
dizziness,12,12,0.0417,0.9583,0.0105,Wild-type_period
dizziness,30,48,0.0143,0.9857,0.0076,Wild-type_period
dizziness,.,0,1,0,0,Alpha_period
dizziness,0,0,0.1531,0.8469,0.0211,Alpha_period
dizziness,1,1,0.088,0.912,0.0174,Alpha_period
dizziness,2,2,0.0749,0.9251,0.0164,Alpha_period
dizziness,3,3,0.0684,0.9316,0.0159,Alpha_period
dizziness,6,6,0.0554,0.9446,0.0148,Alpha_period
dizziness,12,12,0.0474,0.9526,0.0144,Alpha_period
dizziness,18,36,0.0199,0.9801,0.0215,Alpha_period
dizziness,36,48,0.0199,0.9801,0.0093,Alpha_period
dizziness,.,0,1,0,0,Delta_period
dizziness,0,0,0.1289,0.8711,0.0188,Delta_period
dizziness,1,1,0.0943,0.9057,0.0164,Delta_period
dizziness,2,2,0.0755,0.9245,0.0148,Delta_period
dizziness,3,3,0.0597,0.9403,0.0133,Delta_period
