Left_endpoint_months,Right_endpoint_months,S,Epidemic_periods,SE
.,0,1,Wild-type period,0
0,0,0.3087,Wild-type period,0.024
1,1,0.243,Wild-type period,0.0226
2,2,0.1915,Wild-type period,0.021
3,3,0.1629,Wild-type period,0.0199
6,6,0.1458,Wild-type period,0.0191
12,12,0.13,Wild-type period,0.0184
24,30,0.0632,Wild-type period,0.0309
36,48,0.0632,Wild-type period,0.0154
.,0,1,Alpha period,0
0,0,0.3463,Alpha period,0.0273
1,1,0.2783,Alpha period,0.0258
2,2,0.2492,Alpha period,0.025
3,3,0.2006,Alpha period,0.0233
6,6,0.1586,Alpha period,0.0214
12,12,0.1377,Alpha period,0.0204
18,30,0.0647,Alpha period,0.0334
36,36,0.0647,Alpha period,0.0172
48,48,0.0554,Alpha period,0.017
.,0,1,Delta period,0
0,0,0.5061,Delta period,0.0323
1,1,0.4551,Delta period,0.0323
2,2,0.3403,Delta period,0.0312
3,3,0.2892,Delta period,0.0301
6,6,0.2637,Delta period,0.0293
12,12,0.2214,Delta period,0.0283
18,18,0.1214,Delta period,0.0522
24,30,0.1214,Delta period,0.0517
36,36,0.1214,Delta period,0.0326
.,0,1,Omicron period-2022,0
0,0,0.3348,Omicron period-2022,0.0221
1,1,0.2424,Omicron period-2022,0.0203
2,2,0.194,Omicron period-2022,0.0188
3,3,0.1547,Omicron period-2022,0.0172
6,6,0.1085,Omicron period-2022,0.0149
12,12,0.0648,Omicron period-2022,0.0142
24,30,0.0555,Omicron period-2022,0.0147
36,36,0.0269,Omicron period-2022,0.0117
.,0,1,Omicron period-2024,0
0,0,0.3431,Omicron period-2024,0.0406
1,1,0.2555,Omicron period-2024,0.0373
2,2,0.1825,Omicron period-2024,0.033
3,3,0.146,Omicron period-2024,0.0302
6,6,0.1168,Omicron period-2024,0.0274
12,.,0,Omicron period-2024,0
