Left_endpoint_months,Right_endpoint_months,S,Epidemic_periods,SE
.,0,1,Wild-type period,0
0,0,0.3333,Wild-type period,0.0907
1,1,0.2222,Wild-type period,0.08
2,2,0.1481,Wild-type period,0.0684
3,12,0.1111,Wild-type period,0.0605
36,.,0,Wild-type period,0
.,0,1,Alpha period,0
0,2,0.0909,Alpha period,0.0867
3,.,0,Alpha period,0
.,0,1,Delta period,0
0,0,0.3288,Delta period,0.055
1,1,0.1858,Delta period,0.0461
2,2,0.1572,Delta period,0.0432
3,3,0.1429,Delta period,0.0415
6,6,0.1144,Delta period,0.0378
12,12,0.0817,Delta period,0.0333
18,36,0.0408,Delta period,0.0333
.,0,1,Omicron period-2022,0
0,0,0.3207,Omicron period-2022,0.0154
1,1,0.1421,Omicron period-2022,0.0119
2,2,0.1045,Omicron period-2022,0.0105
3,3,0.0811,Omicron period-2022,0.0094
6,6,0.0564,Omicron period-2022,0.008
12,30,0.0188,Omicron period-2022,0.0061
36,36,0.0188,Omicron period-2022,0.0078
.,0,1,Omicron period-2024,0
0,0,0.3664,Omicron period-2024,0.0421
1,1,0.1274,Omicron period-2024,0.0296
2,2,0.0876,Omicron period-2024,0.0251
3,3,0.0797,Omicron period-2024,0.0241
6,12,0.0637,Omicron period-2024,0.0217
