Left_endpoint_months,Right_endpoint_months,S,Epidemic_periods,SE
.,0,1,Wild-type period,0
0,0,0.1111,Wild-type period,0.0605
1,2,0.0741,Wild-type period,0.0504
3,12,0.037,Wild-type period,0.0363
.,0,1,Alpha period,0
0,2,0.0909,Alpha period,0.0867
3,.,0,Alpha period,0
.,0,1,Delta period,0
0,0,0.2055,Delta period,0.0473
1,1,0.1614,Delta period,0.0435
2,2,0.1321,Delta period,0.0402
3,3,0.1174,Delta period,0.0383
6,6,0.1027,Delta period,0.0362
12,12,0.0685,Delta period,0.0312
18,.,0,Delta period,0
.,0,1,Omicron period-2022,0
0,0,0.0921,Omicron period-2022,0.0095
1,1,0.0513,Omicron period-2022,0.0074
2,2,0.042,Omicron period-2022,0.0067
3,3,0.035,Omicron period-2022,0.0062
6,6,0.028,Omicron period-2022,0.0056
12,18,0.014,Omicron period-2022,0.0052
36,.,0,Omicron period-2022,0
.,0,1,Omicron period-2024,0
0,0,0.084,Omicron period-2024,0.0242
1,1,0.0382,Omicron period-2024,0.0167
2,2,0.0305,Omicron period-2024,0.015
3,3,0.0229,Omicron period-2024,0.0131
6,6,0.0153,Omicron period-2024,0.0107
